,VCF0009z,VCF0004,VCF0706,VCF0707,VCF0708,VCF0301
284,1.0,1948.0,2. Republican,,,
285,1.0,1948.0,2. Republican,,,
286,1.0,1948.0,2. Republican,,,
287,1.0,1948.0,2. Republican,,,
288,1.0,1948.0,1. Democrat,,,
289,1.0,1948.0,2. Republican,,,
290,1.0,1948.0,1. Democrat,,,
291,1.0,1948.0,1. Democrat,,,
292,1.0,1948.0,1. Democrat,,,
293,1.0,1948.0,1. Democrat,,,
294,1.0,1948.0,2. Republican,,,
295,1.0,1948.0,1. Democrat,,,
296,1.0,1948.0,1. Democrat,,,
297,1.0,1948.0,1. Democrat,,,
298,1.0,1948.0,4. Other (incl. 3d/minor party candidates and write-ins),,,
299,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
300,1.0,1948.0,1. Democrat,,,
301,1.0,1948.0,2. Republican,,,
302,1.0,1948.0,2. Republican,,,
303,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
304,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
305,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
306,1.0,1948.0,1. Democrat,,,
307,1.0,1948.0,1. Democrat,,,
308,1.0,1948.0,2. Republican,,,
309,1.0,1948.0,2. Republican,,,
310,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
311,1.0,1948.0,1. Democrat,,,
312,1.0,1948.0,1. Democrat,,,
313,1.0,1948.0,1. Democrat,,,
314,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
315,1.0,1948.0,2. Republican,,,
316,1.0,1948.0,2. Republican,,,
317,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
318,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
319,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
320,1.0,1948.0,1. Democrat,,,
321,1.0,1948.0,1. Democrat,,,
322,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
323,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
324,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
325,1.0,1948.0,1. Democrat,,,
326,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
327,1.0,1948.0,2. Republican,,,
328,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
329,1.0,1948.0,2. Republican,,,
330,1.0,1948.0,2. Republican,,,
331,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
332,1.0,1948.0,1. Democrat,,,
333,1.0,1948.0,1. Democrat,,,
334,1.0,1948.0,2. Republican,,,
335,1.0,1948.0,1. Democrat,,,
336,1.0,1948.0,1. Democrat,,,
337,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
338,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
339,1.0,1948.0,1. Democrat,,,
340,1.0,1948.0,2. Republican,,,
341,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
342,1.0,1948.0,2. Republican,,,
343,1.0,1948.0,1. Democrat,,,
344,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
345,1.0,1948.0,2. Republican,,,
346,1.0,1948.0,1. Democrat,,,
347,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
348,1.0,1948.0,2. Republican,,,
349,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
350,1.0,1948.0,2. Republican,,,
351,1.0,1948.0,1. Democrat,,,
352,1.0,1948.0,1. Democrat,,,
353,1.0,1948.0,1. Democrat,,,
354,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
355,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
356,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
357,1.0,1948.0,,,,
358,1.0,1948.0,2. Republican,,,
359,1.0,1948.0,1. Democrat,,,
360,1.0,1948.0,1. Democrat,,,
361,1.0,1948.0,2. Republican,,,
362,1.0,1948.0,1. Democrat,,,
363,1.0,1948.0,2. Republican,,,
364,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
365,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
366,1.0,1948.0,1. Democrat,,,
367,1.0,1948.0,1. Democrat,,,
368,1.0,1948.0,1. Democrat,,,
369,1.0,1948.0,2. Republican,,,
370,1.0,1948.0,1. Democrat,,,
371,1.0,1948.0,1. Democrat,,,
372,1.0,1948.0,1. Democrat,,,
373,1.0,1948.0,1. Democrat,,,
374,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
375,1.0,1948.0,1. Democrat,,,
376,1.0,1948.0,2. Republican,,,
377,1.0,1948.0,2. Republican,,,
378,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
379,1.0,1948.0,1. Democrat,,,
380,1.0,1948.0,1. Democrat,,,
381,1.0,1948.0,1. Democrat,,,
382,1.0,1948.0,1. Democrat,,,
383,1.0,1948.0,2. Republican,,,
384,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
385,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
386,1.0,1948.0,2. Republican,,,
387,1.0,1948.0,2. Republican,,,
388,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
389,1.0,1948.0,1. Democrat,,,
390,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
391,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
392,1.0,1948.0,1. Democrat,,,
393,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
394,1.0,1948.0,1. Democrat,,,
395,1.0,1948.0,1. Democrat,,,
396,1.0,1948.0,2. Republican,,,
397,1.0,1948.0,1. Democrat,,,
398,1.0,1948.0,1. Democrat,,,
399,1.0,1948.0,4. Other (incl. 3d/minor party candidates and write-ins),,,
400,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
401,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
402,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
403,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
404,1.0,1948.0,1. Democrat,,,
405,1.0,1948.0,1. Democrat,,,
406,1.0,1948.0,2. Republican,,,
407,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
408,1.0,1948.0,1. Democrat,,,
409,1.0,1948.0,2. Republican,,,
410,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
411,1.0,1948.0,1. Democrat,,,
412,1.0,1948.0,1. Democrat,,,
413,1.0,1948.0,2. Republican,,,
414,1.0,1948.0,1. Democrat,,,
415,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
416,1.0,1948.0,1. Democrat,,,
417,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
418,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
419,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
420,1.0,1948.0,1. Democrat,,,
421,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
422,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
423,1.0,1948.0,,,,
424,1.0,1948.0,1. Democrat,,,
425,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
426,1.0,1948.0,1. Democrat,,,
427,1.0,1948.0,,,,
428,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
429,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
430,1.0,1948.0,1. Democrat,,,
431,1.0,1948.0,1. Democrat,,,
432,1.0,1948.0,1. Democrat,,,
433,1.0,1948.0,1. Democrat,,,
434,1.0,1948.0,1. Democrat,,,
435,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
436,1.0,1948.0,2. Republican,,,
437,1.0,1948.0,1. Democrat,,,
438,1.0,1948.0,1. Democrat,,,
439,1.0,1948.0,1. Democrat,,,
440,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
441,1.0,1948.0,1. Democrat,,,
442,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
443,1.0,1948.0,2. Republican,,,
444,1.0,1948.0,2. Republican,,,
445,1.0,1948.0,1. Democrat,,,
446,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
447,1.0,1948.0,1. Democrat,,,
448,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
449,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
450,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
451,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
452,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
453,1.0,1948.0,2. Republican,,,
454,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
455,1.0,1948.0,4. Other (incl. 3d/minor party candidates and write-ins),,,
456,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
457,1.0,1948.0,2. Republican,,,
458,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
459,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
460,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
461,1.0,1948.0,2. Republican,,,
462,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
463,1.0,1948.0,,,,
464,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
465,1.0,1948.0,,,,
466,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
467,1.0,1948.0,2. Republican,,,
468,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
469,1.0,1948.0,1. Democrat,,,
470,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
471,1.0,1948.0,,,,
472,1.0,1948.0,,,,
473,1.0,1948.0,1. Democrat,,,
474,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
475,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
476,1.0,1948.0,2. Republican,,,
477,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
478,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
479,1.0,1948.0,1. Democrat,,,
480,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
481,1.0,1948.0,2. Republican,,,
482,1.0,1948.0,2. Republican,,,
483,1.0,1948.0,2. Republican,,,
484,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
485,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
486,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
487,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
488,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
489,1.0,1948.0,1. Democrat,,,
490,1.0,1948.0,4. Other (incl. 3d/minor party candidates and write-ins),,,
491,1.0,1948.0,1. Democrat,,,
492,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
493,1.0,1948.0,1. Democrat,,,
494,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
495,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
496,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
497,1.0,1948.0,2. Republican,,,
498,1.0,1948.0,1. Democrat,,,
499,1.0,1948.0,2. Republican,,,
500,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
501,1.0,1948.0,,,,
502,1.0,1948.0,1. Democrat,,,
503,1.0,1948.0,1. Democrat,,,
504,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
505,1.0,1948.0,1. Democrat,,,
506,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
507,1.0,1948.0,4. Other (incl. 3d/minor party candidates and write-ins),,,
508,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
509,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
510,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
511,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
512,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
513,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
514,1.0,1948.0,4. Other (incl. 3d/minor party candidates and write-ins),,,
515,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
516,1.0,1948.0,1. Democrat,,,
517,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
518,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
519,1.0,1948.0,4. Other (incl. 3d/minor party candidates and write-ins),,,
520,1.0,1948.0,1. Democrat,,,
521,1.0,1948.0,,,,
522,1.0,1948.0,2. Republican,,,
523,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
524,1.0,1948.0,2. Republican,,,
525,1.0,1948.0,2. Republican,,,
526,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
527,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
528,1.0,1948.0,1. Democrat,,,
529,1.0,1948.0,1. Democrat,,,
530,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
531,1.0,1948.0,2. Republican,,,
532,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
533,1.0,1948.0,2. Republican,,,
534,1.0,1948.0,2. Republican,,,
535,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
536,1.0,1948.0,2. Republican,,,
537,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
538,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
539,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
540,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
541,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
542,1.0,1948.0,4. Other (incl. 3d/minor party candidates and write-ins),,,
